date,"Soybean oil, Brazil, fob","Soybean oil, Argentina, fob","Sunoil, EU, fob N.W.Eur. ports","Sunoil, Arg., fob","Sunoil, Ukraine, fob","Rape oil, Dutch, fob ex-mill","Palm olein RBD, Mal., fob","Palmkernel oil, Mal., cif Rot.","Coconut oil, Phil., cif Rot.","Пальмовое масло   RBD, FOB Малайзия , usd/тн "
2010-01-04,,,,,,,,,,
2010-01-05,-0.0011160714285713969,-0.001122334455667784,0.010101010101010166,0.011673151750972721,0.0,0.0031847133757962887,0.009732360097323589,0.0,-0.005988023952095856,0.0
2010-01-06,-0.004469273743016755,-0.003370786516853963,0.004999999999999893,0.005494505494505475,0.0,-0.002116402116402072,0.0,0.0,-0.0060240963855421326,0.029032258064516148
2010-01-07,-0.014590347923681302,-0.015783540022547893,-0.00995024875621886,-0.010928961748633892,0.0,-0.0031813361611876534,-0.012048192771084376,-0.005555555555555536,-0.018181818181818188,-0.01253918495297801
2010-01-08,-0.009111617312072884,-0.009163802978235935,-0.01005025125628145,-0.0055248618784530246,0.012417496364246494,-0.012765957446808529,-0.0024390243902439046,-0.005586592178770999,-0.006172839506172867,-0.0031746031746031633
2010-01-11,-0.0045977011494252595,-0.0046242774566473965,0.0,0.0,0.0,0.01724137931034475,-0.009779951100244544,0.0,-0.012422360248447228,0.01273885350318471
2010-01-12,-0.0161662817551963,-0.016260162601625994,0.0,0.0,0.0,-0.02330508474576276,-0.012345679012345734,-0.011235955056179803,-0.012578616352201255,0.003144654088050425
2010-01-13,0.015258215962441257,0.015348288075560879,-0.010152284263959421,0.0,0.0,-0.005422993492407824,-0.025000000000000022,-0.011363636363636354,-0.02547770700636942,-0.009404388714733591
2010-01-14,-0.011560693641618491,-0.011627906976744207,0.0,-0.011111111111111072,-0.016574585635359074,0.0065430752453652374,0.012820512820512775,0.011494252873563315,0.0,-0.006329113924050667
2010-01-15,-0.023391812865497075,-0.02352941176470591,-0.00512820512820511,0.0,0.0,-0.010834236186348822,-0.008860759493670933,-0.011363636363636354,-0.019607843137254943,0.0
2010-01-18,0.0,0.0,-0.015463917525773141,-0.005617977528089901,0.0,-0.0010952902519167917,-0.0063856960408684715,0.0,-0.00666666666666671,0.015923566878981
2010-01-19,-0.005988023952095856,-0.0060240963855421326,0.0,-0.005649717514124242,-0.016853932584269704,-0.018640350877192957,0.006426735218509005,0.0,0.033557046979865834,-0.009404388714733591
2010-01-20,-0.015662650602409678,-0.012121212121212088,0.0,0.0,0.0,0.0022346368715084886,-0.019157088122605415,-0.005747126436781658,-0.00649350649350644,0.012658227848101333
2010-01-21,0.014687882496940086,0.013496932515337345,-0.005235602094240788,0.0,0.0,0.0033444816053511683,0.00911458333333326,0.011560693641618602,0.013071895424836555,0.012499999999999956
2010-01-22,-0.003618817852834688,-0.003631961259079941,0.0,0.0,0.0,0.005555555555555536,-0.002580645161290307,-0.005714285714285672,0.006451612903225712,0.0
2010-01-25,-0.007263922518159771,-0.007290400972053468,0.0,0.0,0.0,0.008839779005524795,-0.0038809831824062613,0.005747126436781658,0.0064102564102563875,0.0185185185185186
2010-01-26,0.009756097560975618,0.008567931456548328,-0.0052631578947368585,-0.005681818181818232,0.0,-0.02300109529025196,-0.025974025974025983,-0.017142857142857126,-0.019108280254777066,-0.012121212121212088
2010-01-27,-0.009661835748792313,-0.008495145631068013,0.0,-0.005714285714285672,0.0,0.0022421524663676085,0.0,0.005813953488372103,0.006493506493506551,0.018404907975460016
2010-01-28,-0.007317073170731714,-0.007343941248470043,0.0,0.0,0.017142857142857126,0.0022371364653244186,0.006666666666666599,0.0,0.006451612903225712,-0.0060240963855421326
2010-01-29,-0.0036855036855036882,-0.0036991368680641123,-0.005291005291005346,-0.005747126436781658,-0.005617977528089901,-0.0022321428571429047,0.0,-0.005780346820809301,-0.012820512820512775,-0.009090909090909038
2010-02-01,0.002466091245376001,0.0024752475247524774,0.0,0.0,0.0,-0.004474272930648726,0.0,0.0,0.0,-0.012232415902140636
2010-02-02,0.03321033210332103,0.03333333333333344,0.0,0.0,0.0,0.0022471910112360494,-0.0026490066225165476,-0.005813953488372103,-0.00649350649350644,-0.009287925696594423
2010-02-03,-0.01666666666666672,-0.016726403823178027,0.0,-0.011560693641618491,-0.011299435028248594,0.026905829596412634,0.026560424966799445,0.005847953216374213,0.013071895424836555,0.0031250000000000444
2010-02-04,0.004842615012106588,0.004860267314702238,0.005319148936170137,-0.01754385964912286,0.0,-0.02510917030567683,-0.0038809831824062613,0.0,0.0,-0.015576323987538943
2010-02-05,-0.0072289156626506035,-0.006045949214026569,-0.005291005291005346,0.0,0.0,-0.01903695408734607,-0.003896103896103842,0.01744186046511631,0.006451612903225712,0.018987341772152
2010-02-08,0.02184466019417486,0.021897810218978186,0.0,0.011904761904761862,0.0,0.0182648401826484,0.011734028683181297,0.02857142857142847,0.012820512820512775,-0.0031055900621117516
2010-02-09,0.0071258907363420665,0.008333333333333304,0.005319148936170137,0.00588235294117645,0.0,0.0033632286995515237,0.009020618556700999,-0.01666666666666672,-0.03164556962025311,0.0031152647975076775
2010-02-10,-0.005896226415094352,-0.005903187721369552,0.0,0.0,0.0,-0.005586592178770999,0.0025542784163474774,-0.005649717514124242,0.0,-0.006211180124223614
2010-02-11,-0.004744958481613271,-0.004750593824228044,0.005291005291005346,0.005847953216374213,0.011428571428571344,0.008988764044943753,0.006369426751592355,0.005681818181818121,0.019607843137254832,0.006250000000000089
